Activity Name,Description,Why It Matters,How To Do It,Developmental Area,Duration (min),Materials Required,Age Band,Source
Handle Criticism Gracefully,A skill-building activity focused on social understanding and self-regulation.,"Social and emotional skills at this age predict how school goes as much as academic ability does. Expect them to want to do it their own way, and let them where you can.","When given negative feedback: listen fully, ask one question, thank them. Receiving criticism is a learnable skill.",Social-Emotional,Ongoing,None,5y3m–5y6m,CASEL Social-Emotional Framework; NAEYC Developmentally Appropriate Practice; IAP
Advocate Someone Else,An activity that develops friendship and social navigation.,"Social and emotional skills at this age predict how school goes as much as academic ability does. Let your child attempt it independently first, and offer help only when they ask or genuinely stall.",My friend was upset about what happened. I wanted to say something on their behalf.' Ally behaviour.,Social-Emotional,Ongoing,None,5y3m–5y6m,CASEL Social-Emotional Framework; NAEYC Developmentally Appropriate Practice; IAP
Peer Mediation,A skill-building activity focused on friendship and social navigation.,"Social and emotional skills at this age predict how school goes as much as academic ability does. Let your child attempt it independently first, and offer help only when they ask or genuinely stall.",Help two friends resolve a conflict they're having. Third-party mediation requires neutrality and listening.,Social-Emotional,10–15 min,None,5y3m–5y6m,CASEL Social-Emotional Framework; NAEYC Developmentally Appropriate Practice; IAP
Discuss Moral Dilemma,A skill-building activity focused on social understanding and self-regulation.,"Your child can now reflect on their own behaviour, which makes real emotional learning possible. Expect them to want to do it their own way, and let them where you can.","If you found a wallet full of money with no ID, what would you do?' Moral reasoning without a single right answer.",Social-Emotional,5–10 min,None,5y3m–5y6m,CASEL Social-Emotional Framework; NAEYC Developmentally Appropriate Practice; IAP
Tie-Dye,An activity that develops sensory discrimination and integration.,"Sensory-rich activity gives children a break from cognitive demand while still developing skill. Expect them to want to do it their own way, and let them where you can.","Rubber band a white cloth in patterns, submerge in colour (food dye). Pattern control + colour science + patience.",Sensory,20–30 min,"White fabric, rubber bands, food dye, water",5y3m–5y6m,AOTA Sensory Integration; Ayres Sensory Integration framework; IAP
Candle-Making,An activity that develops sensory exploration through water.,"This supports regulation and focus, which matters more once formal learning begins. Let your child attempt it independently first, and offer help only when they ask or genuinely stall.","Melt wax, pour into a mould, insert wick. Supervised heat + transformation science + fine motor.",Sensory,20–30 min,"Wax (old candles), wick, container",5y3m–5y6m,AOTA Sensory Integration; Ayres Sensory Integration framework; IAP
Build Periscope,An activity that develops sensory discrimination and integration.,"Sensory-rich activity gives children a break from cognitive demand while still developing skill. Expect them to want to do it their own way, and let them where you can.",Mirrors at 45-degree angles in a tube: see around corners. Optics: angles of reflection.,Sensory,15–20 min,"Cardboard tube, two small mirrors, tape",5y3m–5y6m,AOTA Sensory Integration; Ayres Sensory Integration framework; IAP
Kiln Pit Fire,A skill-building activity focused on tactile discrimination and refinement.,"Sensory-rich activity gives children a break from cognitive demand while still developing skill. Expect them to want to do it their own way, and let them where you can.",Shape clay pots; fire them in a pit fire (with adult supervision). Ancient technology + science of ceramic transformation.,Sensory,30–45 min,"Air-dry clay, outdoor fire (supervised)",5y3m–5y6m,AOTA Sensory Integration; Ayres Sensory Integration framework; IAP
Acoustic Science,A practical challenge that builds auditory discrimination.,"Sensory-rich activity gives children a break from cognitive demand while still developing skill. Expect them to want to do it their own way, and let them where you can.",Two cups connected by a taut string. Sound travels through the string: demonstrate vibration as a medium of sound.,Sensory,10–15 min,"Two cups, string",5y3m–5y6m,AOTA Sensory Integration; Ayres Sensory Integration framework; IAP
Own Study Schedule,An activity that develops organising self and belongings.,Children who genuinely contribute at home tend to be more capable and more confident. Talk about how they approached it rather than whether they got it right; the strategy is the valuable part.,"Plan a weekly study schedule independently. What to revise, when, for how long. Executive function for academic contexts.",Self-Care & Adaptive,10–15 min,Paper + calendar,5y3m–5y6m,AOTA Activities of Daily Living; NCERT Foundational Stage; IAP
Solo Public Transaction,A practical challenge that builds handling money.,"This develops the organisation and self-management that school increasingly demands. Expect them to want to do it their own way, and let them where you can.","Enter a shop, choose an item, pay, check change, thank the cashier: alone. Real-world social-financial independence.",Self-Care & Adaptive,10–15 min,Money for a small purchase,5y3m–5y6m,AOTA Activities of Daily Living; NCERT Foundational Stage; IAP
Badminton,"An activity that develops coordination, strength and control.","This refines coordination and control, and gives your child the physical competence that sport and play at school will draw on. Let your child attempt it independently first, and offer help only when they ask or genuinely stall.",Rally a shuttlecock back and forth. Eye-hand coordination + fast visual tracking + footwork combined.,Gross Motor,10–15 min,Badminton rackets + shuttlecock (or improvised),5y6m–5y9m,WHO Physical Activity Guidelines (5–17); AAP Sports and Fitness; IAP
Handstand Walk,An activity that develops advanced balance and control.,"This refines coordination and control, and gives your child the physical competence that sport and play at school will draw on. Expect them to want to do it their own way, and let them where you can.","From wall-handstand, try 1–2 hand-steps away from wall. Weight shift in full inversion = exceptional balance demand.",Gross Motor,5–8 min,Clear wall,5y6m–5y9m,WHO Physical Activity Guidelines (5–17); AAP Sports and Fitness; IAP
Swim 50 Metres,An activity that develops swimming technique.,"Skills at this age become more accurate and more strategic, and this is the kind of practice that develops both. Talk about how they approached it rather than whether they got it right; the strategy is the valuable part.","Always with a trained adult or lifeguard present, swim 50 metres using 2 different strokes. Stroke transition demonstrates fluid motor switching.",Gross Motor,15–20 min,Swimming pool,5y6m–5y9m,AAP Water Safety; Indian Swimming Federation basic safety norms; IAP
Bicycle Long Distance,An activity that develops cycling skill and road awareness.,"This refines coordination and control, and gives your child the physical competence that sport and play at school will draw on. Let your child attempt it independently first, and offer help only when they ask or genuinely stall.","Cycle 5 km on a chosen route. Stamina, navigation, and sustained attention across 20–30 minutes.",Gross Motor,20–30 min,Bicycle,5y6m–5y9m,WHO Physical Activity Guidelines (5–17); AAP Sports and Fitness; IAP
Cricket Bowling,A practical challenge that builds running speed and endurance.,"This refines coordination and control, and gives your child the physical competence that sport and play at school will draw on. Talk about how they approached it rather than whether they got it right; the strategy is the valuable part.",Overarm bowling at a target (stump or cone). Run-up + release + follow-through = full-body coordination in sequence.,Gross Motor,10–15 min,Ball + target,5y6m–5y9m,WHO Physical Activity Guidelines (5–17); AAP Sports and Fitness; IAP
Gymnastics Beam,A practical challenge that builds advanced balance and control.,"Skills at this age become more accurate and more strategic, and this is the kind of practice that develops both. Let your child attempt it independently first, and offer help only when they ask or genuinely stall.","Walk, turn, pose on a low beam. Balance in one plane while planning movement = gymnastic spatial reasoning.",Gross Motor,10–15 min,Low beam or plank (10 cm high),5y6m–5y9m,WHO Physical Activity Guidelines (5–17); AAP Sports and Fitness; IAP
Archery I,"A practical challenge that builds throwing, catching and aiming accuracy.","Physical activity now supports concentration, sleep and mood as much as it supports strength. Talk about how they approached it rather than whether they got it right; the strategy is the valuable part.","Simple rubber-band bow and arrow or a commercial safety set. Aim, hold breath, release. Fine + gross combined.",Gross Motor,10–15 min,Simple bow and arrows (safe set),5y6m–5y9m,WHO Physical Activity Guidelines (5–17); AAP Sports and Fitness; IAP
Frisbee Accurate Throw,"A skill-building activity focused on throwing, catching and aiming accuracy.","Skills at this age become more accurate and more strategic, and this is the kind of practice that develops both. Expect them to want to do it their own way, and let them where you can.",Throw a frisbee so it lands in a target area 10 m away. Wrist flip + horizontal plane release = distinct motor skill.,Gross Motor,10–15 min,Frisbee,5y6m–5y9m,WHO Physical Activity Guidelines (5–17); AAP Sports and Fitness; IAP
Short Story Collection,A skill-building activity focused on handwriting control.,"The hand skills built here support handwriting, and handwriting fluency frees up attention for thinking. Let your child attempt it independently first, and offer help only when they ask or genuinely stall.",3 short stories (200 words each) with a connecting theme. Organisation + variety within a unified project.,Fine Motor,20–30 min,Pencil and paper,5y6m–5y9m,AOTA Fine Motor Development; NCERT Foundational Literacy; IAP
Macrame,A practical challenge that builds needle skills and precision.,"This refines the precision your child now needs for writing, drawing and detailed work at school. Talk about how they approached it rather than whether they got it right; the strategy is the valuable part.",Square knot and half-hitch repeatedly to make a small wall piece or bracelet. Pattern knotting = fine motor + sequencing.,Fine Motor,20–30 min,Macrame cord or thick string,5y6m–5y9m,AOTA Fine Motor Development; NCERT Foundational Literacy; IAP
Perspective Drawing I,A practical challenge that builds drawing accuracy and detail.,"The hand skills built here support handwriting, and handwriting fluency frees up attention for thinking. Expect them to want to do it their own way, and let them where you can.",One-point perspective: a road or corridor disappearing to a single point on the horizon. Geometry through art.,Fine Motor,15–20 min,"Pencil, ruler, paper",5y6m–5y9m,AOTA Fine Motor Development; NCERT Foundational Literacy; IAP
Build Hydraulic Arm,An activity that develops construction and spatial precision.,"This refines the precision your child now needs for writing, drawing and detailed work at school. Talk about how they approached it rather than whether they got it right; the strategy is the valuable part.",Syringes filled with water and connected by tubing. Hydraulic pressure lifts a load. Engineering + fluid physics.,Fine Motor,20–30 min,"Syringes, tubing, card, tape",5y6m–5y9m,AOTA Fine Motor Development; NCERT Foundational Literacy; IAP
Scratch Coding,A practical challenge that builds fine motor precision and control.,"The hand skills built here support handwriting, and handwriting fluency frees up attention for thinking. Let your child attempt it independently first, and offer help only when they ask or genuinely stall.","Program a character to move, make a sound, and respond to a key press. Three functions in one project = logic thinking.",Fine Motor,15–20 min,Computer with Scratch (scratch.mit.edu),5y6m–5y9m,AOTA Fine Motor Development; NCERT Foundational Literacy; IAP
Print-Making,A practical challenge that builds construction and spatial precision.,"Fine motor control at this age is about accuracy and endurance rather than basic ability. Expect them to want to do it their own way, and let them where you can.",Carve a simple design into a soft block and print. Carving subtracts; printing reveals: two-stage craft thinking.,Fine Motor,20–30 min,"Soft lino or polystyrene, blunt carving tool, paint",5y6m–5y9m,AOTA Fine Motor Development; NCERT Foundational Literacy; IAP
Read Novel Series,A skill-building activity focused on reading development.,"This supports the vocabulary and expression that school will increasingly demand. Let your child attempt it independently first, and offer help only when they ask or genuinely stall.",Two books in a series. Tracking character development across books = long-form narrative memory.,Language & Communication,20–30 min,Novel series (2 books),5y6m–5y9m,ASHA Speech and Language Milestones; NCERT Foundational Literacy and Numeracy; IAP
from Another Perspective,An activity that develops reading development.,"Being able to explain their thinking out loud helps children organise it, which is why talk matters at this age. Expect them to want to do it their own way, and let them where you can.",Retell a chapter from a book from a different character's point of view. Perspective-taking through creative writing.,Language & Communication,15–20 min,Pencil and paper + familiar book,5y6m–5y9m,ASHA Speech and Language Milestones; NCERT Foundational Literacy and Numeracy; IAP
Homophone Homonym Work,"A practical challenge that builds language, literacy and expression.","Language now becomes a tool for thinking, explaining and reading, and this strengthens all three. Let your child attempt it independently first, and offer help only when they ask or genuinely stall.","Their/there/they're, to/too/two, affect/effect. Context determines the correct form. Language precision.",Language & Communication,5–10 min,None,5y6m–5y9m,WHO Screen Time Guidelines (under 5); IAP Screen Time Guidance; IAP
Interview Transcribe,A practical challenge that builds conversation and presentation.,"Language now becomes a tool for thinking, explaining and reading, and this strengthens all three. Let your child attempt it independently first, and offer help only when they ask or genuinely stall.",Interview a family member for 5 minutes; transcribe key quotes. Journalism skill: listening + note-taking + selection.,Language & Communication,15–20 min,Paper for notes or recording device,5y6m–5y9m,ASHA Speech and Language Milestones; NCERT Foundational Literacy and Numeracy; IAP
Read Review Film,A practical challenge that builds reading development.,"This supports the vocabulary and expression that school will increasingly demand. Let your child attempt it independently first, and offer help only when they ask or genuinely stall.","Watch a film; write a 200-word review: plot summary, best element, weakest element, rating. Critical media literacy.",Language & Communication,15–20 min,Paper and pencil,5y6m–5y9m,ASHA Speech and Language Milestones; NCERT Foundational Literacy and Numeracy; IAP
Word Etymology Project,A skill-building activity focused on vocabulary depth.,"This supports the vocabulary and expression that school will increasingly demand. Expect them to want to do it their own way, and let them where you can.","Choose 5 unusual words and find their origins. Etymology shows language as a living, evolving system.",Language & Communication,10–15 min,Dictionary or etymology book,5y6m–5y9m,ASHA Speech and Language Milestones; NCERT Foundational Literacy and Numeracy; IAP
Write Acrostic Poem,An activity that develops written expression.,"Language now becomes a tool for thinking, explaining and reading, and this strengthens all three. Talk about how they approached it rather than whether they got it right; the strategy is the valuable part.",Write a poem where the first letter of each line spells a word. Constraint-based creativity = high linguistic challenge.,Language & Communication,10–15 min,Pencil and paper,5y6m–5y9m,ASHA Speech and Language Milestones; NCERT Foundational Literacy and Numeracy; IAP
Comprehension Inference,An activity that develops reading development.,"Language now becomes a tool for thinking, explaining and reading, and this strengthens all three. Let your child attempt it independently first, and offer help only when they ask or genuinely stall.",Read a passage and answer: 'The text says X. What does that suggest about Y?' Implicit meaning = deep comprehension.,Language & Communication,10–15 min,Any passage with inferrable subtext,5y6m–5y9m,ASHA Speech and Language Milestones; NCERT Foundational Literacy and Numeracy; IAP
Percentages,"An activity that develops reasoning, planning and problem-solving.","Understanding at this stage grows from working things out rather than being told the answer. Let your child attempt it independently first, and offer help only when they ask or genuinely stall.",50% = half. 25% = quarter. 10% = one tenth. Percentage as a fraction of 100: connect to known fraction knowledge.,Cognitive,5–10 min,Objects to split into 100 or 10,5y6m–5y9m,NCERT Foundational Literacy and Numeracy; Harvard Center on the Developing Child; IAP
Negative Numbers,An activity that develops number and early mathematical thinking.,This develops the planning and reasoning that increasingly demanding schoolwork will require. Talk about how they approached it rather than whether they got it right; the strategy is the valuable part.,"Numbers below zero: temperature, floors below ground, money owed. Number line extended below zero.",Cognitive,5–8 min,Extended number line drawn on paper,5y6m–5y9m,NCERT Foundational Literacy and Numeracy; Harvard Center on the Developing Child; IAP
Area Rectangle,"An activity that develops reasoning, planning and problem-solving.","At this age children can genuinely think through a problem, and doing so builds the habit of persisting with hard things. Expect them to want to do it their own way, and let them where you can.",Length × width. Find the area of 5 household objects. Area as 'how many squares fill this shape.',Cognitive,5–10 min,"Ruler, paper for recording",5y6m–5y9m,NCERT Foundational Literacy and Numeracy; Harvard Center on the Developing Child; IAP
Electricity Magnetism,An activity that develops scientific reasoning.,"This develops the planning and reasoning that increasingly demanding schoolwork will require. Expect them to want to do it their own way, and let them where you can.",Electromagnet: coil wire around a nail + battery = magnet. What does it attract? Science + engineering combined.,Cognitive,15–20 min,"Wire, nail, battery",5y6m–5y9m,NCERT Foundational Literacy and Numeracy; Harvard Center on the Developing Child; IAP
Human Body Systems,"A skill-building activity focused on reasoning, planning and problem-solving.",Understanding at this stage grows from working things out rather than being told the answer. Talk about how they approached it rather than whether they got it right; the strategy is the valuable part.,"Skeleton, muscles, heart, lungs. Draw and label each system. How do systems work together?",Cognitive,10–15 min,Paper and coloured pens,5y6m–5y9m,NCERT Foundational Literacy and Numeracy; Harvard Center on the Developing Child; IAP
Probability,A skill-building activity focused on scientific reasoning.,"This develops the planning and reasoning that increasingly demanding schoolwork will require. Expect them to want to do it their own way, and let them where you can.","Flip a coin 20 times: predict, then compare results. Experimental probability vs theoretical probability.",Cognitive,10–15 min,Coin + tally chart,5y6m–5y9m,NCERT Foundational Literacy and Numeracy; Harvard Center on the Developing Child; IAP
Recognise Unhealthy Relationships,An activity that develops friendship and social navigation.,Social and emotional skills at this age predict how school goes as much as academic ability does. Talk about how they approached it rather than whether they got it right; the strategy is the valuable part.,What would make a friendship unhealthy? What would you do if that happened?' Protective relationship literacy.,Social-Emotional,10–15 min,None,5y6m–5y9m,CASEL Social-Emotional Framework; NAEYC Developmentally Appropriate Practice; IAP
Practice Saying No,A skill-building activity focused on social understanding and self-regulation.,"This supports the friendships, fairness and self-control that become central once children are in a classroom. Let your child attempt it independently first, and offer help only when they ask or genuinely stall.","Role-play scenarios where saying no is the right answer. 'No thank you', 'I don't want to do that', 'I'm leaving now.'",Social-Emotional,5–10 min,None,5y6m–5y9m,CASEL Social-Emotional Framework; NAEYC Developmentally Appropriate Practice; IAP
Manage Academic Pressure,A skill-building activity focused on responsibility and contribution.,"This supports the friendships, fairness and self-control that become central once children are in a classroom. Expect them to want to do it their own way, and let them where you can.",What does it feel like when you're worried about doing badly? What helps?' Anxiety about performance is real and needs a name.,Social-Emotional,5–10 min,None,5y6m–5y9m,CASEL Social-Emotional Framework; NAEYC Developmentally Appropriate Practice; IAP
Digital Empathy,An activity that develops empathy and perspective-taking.,"Social and emotional skills at this age predict how school goes as much as academic ability does. Let your child attempt it independently first, and offer help only when they ask or genuinely stall.",Would you say this in person? How might they feel reading it?' Online communication carries the same emotional weight.,Social-Emotional,5–10 min,None,5y6m–5y9m,CASEL Social-Emotional Framework; NAEYC Developmentally Appropriate Practice; IAP
Gratitude Journal,A skill-building activity focused on social understanding and self-regulation.,"Your child can now reflect on their own behaviour, which makes real emotional learning possible. Talk about how they approached it rather than whether they got it right; the strategy is the valuable part.","Write or draw 3 things you're grateful for, every day for 2 weeks. Sustained gratitude practice changes mood baseline.",Social-Emotional,3–5 min,Journal + pencil,5y6m–5y9m,CASEL Social-Emotional Framework; NAEYC Developmentally Appropriate Practice; IAP
Cultural Exchange Meal,A practical challenge that builds social understanding and self-regulation.,"Your child can now reflect on their own behaviour, which makes real emotional learning possible. Expect them to want to do it their own way, and let them where you can.",Cook and eat a meal from a culture your family isn't from. Research the dish + cooking + context conversation.,Social-Emotional,30–45 min,Ingredients for chosen recipe,5y6m–5y9m,CASEL Social-Emotional Framework; NAEYC Developmentally Appropriate Practice; IAP
Optical Illusion Art,An activity that develops sensory art and material handling.,"Physical and sensory input remains important at this age, particularly for children who sit still for long periods at school. Expect them to want to do it their own way, and let them where you can.",Draw Escher-inspired impossible shapes or trompe l'oeil. Visual perception + spatial reasoning + fine motor combined.,Sensory,20–30 min,"Pencil, ruler, paper",5y6m–5y9m,AOTA Sensory Integration; Ayres Sensory Integration framework; IAP
Fossil Making,A practical challenge that builds tactile discrimination and refinement.,"Sensory-rich activity gives children a break from cognitive demand while still developing skill. Let your child attempt it independently first, and offer help only when they ask or genuinely stall.","Press shells, leaves, or bones into clay; let dry. The impression is exactly how real fossils form. Palaeontology concept.",Sensory,15–20 min,"Clay, shells or leaves",5y6m–5y9m,AOTA Sensory Integration; Ayres Sensory Integration framework; IAP
Make Weather Station,An activity that develops natural sensory environments.,"Sensory-rich activity gives children a break from cognitive demand while still developing skill. Expect them to want to do it their own way, and let them where you can.","Thermometer, rain gauge (marked container), wind direction vane (card + pin). Record daily for 2 weeks.",Sensory,20–30 min,"Containers, ruler, card, pin",5y6m–5y9m,AOTA Sensory Integration; Ayres Sensory Integration framework; IAP
Sound Science,An activity that develops sensory exploration through water.,"This supports regulation and focus, which matters more once formal learning begins. Talk about how they approached it rather than whether they got it right; the strategy is the valuable part.",Partially fill glasses with water at different levels; tap each. More water = lower pitch. Frequency + resonance explained.,Sensory,10–15 min,"Glasses, water, spoon",5y6m–5y9m,AOTA Sensory Integration; Ayres Sensory Integration framework; IAP
or Chicken Wing,A practical challenge that builds sensory art and material handling.,"This supports regulation and focus, which matters more once formal learning begins. Expect them to want to do it their own way, and let them where you can.","Supervised dissection of a squid (from market) or chicken wing. Identify tendons, cartilage, muscle. Real biology.",Sensory,15–20 min,"Squid or chicken wing, disposable gloves",5y6m–5y9m,AOTA Sensory Integration; Ayres Sensory Integration framework; IAP
Plan Fundraiser,A practical challenge that builds organising self and belongings.,Independence and responsibility at this age build competence that carries well beyond the specific task. Talk about how they approached it rather than whether they got it right; the strategy is the valuable part.,"Choose a cause; plan a simple fundraiser: what, for whom, how much to raise, how to tell people. Civic planning.",Self-Care & Adaptive,15–20 min,Paper for planning,5y6m–5y9m,AOTA Activities of Daily Living; NCERT Foundational Stage; IAP
Travel Independently,A skill-building activity focused on personal safety and judgement.,"Independence and responsibility at this age build competence that carries well beyond the specific task. Expect them to want to do it their own way, and let them where you can.",Public transport or walk for a familiar route without adult. Route knowledge + safety + agency growing together.,Self-Care & Adaptive,15–20 min,Transport money if needed,5y6m–5y9m,AOTA Activities of Daily Living; NCERT Foundational Stage; IAP
Football,A practical challenge that builds ball control with the feet.,"This refines coordination and control, and gives your child the physical competence that sport and play at school will draw on. Let your child attempt it independently first, and offer help only when they ask or genuinely stall.",Understand and play a position in a simple football match. Reading the game spatially is as important as individual skill.,Gross Motor,20–30 min,Football + players,5y9m–6y,WHO Physical Activity Guidelines (5–17); AAP Sports and Fitness; IAP
Swimming Race,An activity that develops running speed and endurance.,"Skills at this age become more accurate and more strategic, and this is the kind of practice that develops both. Let your child attempt it independently first, and offer help only when they ask or genuinely stall.",Race against another person or own previous time. Performance awareness + competitive experience in a safe context.,Gross Motor,15–20 min,Swimming pool,5y9m–6y,AAP Water Safety; Indian Swimming Federation basic safety norms; IAP
Bicycle Navigation,A skill-building activity focused on cycling skill and road awareness.,"Physical activity now supports concentration, sleep and mood as much as it supports strength. Expect them to want to do it their own way, and let them where you can.","Navigate a 2-km route from memory or a simple map, independently or with a peer.",Gross Motor,15–20 min,Bicycle + route map,5y9m–6y,WHO Physical Activity Guidelines (5–17); AAP Sports and Fitness; IAP
Rock Climbing I,An activity that develops climbing and whole-body strength.,"Skills at this age become more accurate and more strategic, and this is the kind of practice that develops both. Talk about how they approached it rather than whether they got it right; the strategy is the valuable part.",Supervised rock climbing on a wall or crag. Reading the route + executing the movement + trusting the equipment.,Gross Motor,20–30 min,Climbing wall + instructor,5y9m–6y,WHO Physical Activity Guidelines (5–17); AAP Sports and Fitness; IAP
Trampoline,"A practical challenge that builds coordination, strength and control.","Physical activity now supports concentration, sleep and mood as much as it supports strength. Let your child attempt it independently first, and offer help only when they ask or genuinely stall.",Seat drop and back drop on a trampoline (supervised). Full inversion trust + controlled landing on novel body part.,Gross Motor,10–15 min,Trampoline (supervised),5y9m–6y,WHO Physical Activity Guidelines (5–17); AAP Sports and Fitness; IAP
Tennis,A skill-building activity focused on swimming technique.,"Physical activity now supports concentration, sleep and mood as much as it supports strength. Expect them to want to do it their own way, and let them where you can.",Rally with forehand and backhand groundstrokes. Switching grip and swing direction is a bilateral motor distinction.,Gross Motor,10–15 min,Tennis racket and ball (or improvised),5y9m–6y,WHO Physical Activity Guidelines (5–17); AAP Sports and Fitness; IAP
Sprint Technique,A skill-building activity focused on running speed and endurance.,"This refines coordination and control, and gives your child the physical competence that sport and play at school will draw on. Let your child attempt it independently first, and offer help only when they ask or genuinely stall.","Arms, legs, lean, breathing: all coordinated in a maximal effort sprint. Physical literacy = understanding your own body.",Gross Motor,5–10 min,Open space,5y9m–6y,WHO Physical Activity Guidelines (5–17); AAP Sports and Fitness; IAP
Cricket Batting,A practical challenge that builds climbing and whole-body strength.,"Physical activity now supports concentration, sleep and mood as much as it supports strength. Let your child attempt it independently first, and offer help only when they ask or genuinely stall.","Bat against a bowled delivery with proper stance, backlift, and follow-through.",Gross Motor,10–15 min,Cricket bat and ball,5y9m–6y,WHO Physical Activity Guidelines (5–17); AAP Sports and Fitness; IAP
Write Personal Essay,A skill-building activity focused on handwriting control.,"This refines the precision your child now needs for writing, drawing and detailed work at school. Talk about how they approached it rather than whether they got it right; the strategy is the valuable part.",I believe that…': 500-word personal essay arguing a position from own experience. Opinion + narrative combined.,Fine Motor,20–30 min,Pencil and paper,5y9m–6y,AOTA Fine Motor Development; NCERT Foundational Literacy; IAP
Woodworking,A practical challenge that builds fine motor precision and control.,"Fine motor control at this age is about accuracy and endurance rather than basic ability. Let your child attempt it independently first, and offer help only when they ask or genuinely stall.","Under supervision: saw, sand, and glue or nail a simple joint. Real tool use + material understanding.",Fine Motor,20–30 min,"Soft wood, hand saw, sandpaper, nails or glue",5y9m–6y,AOTA Fine Motor Development; NCERT Foundational Literacy; IAP
Animated Flip Book,An activity that develops drawing accuracy and detail.,"This refines the precision your child now needs for writing, drawing and detailed work at school. Let your child attempt it independently first, and offer help only when they ask or genuinely stall.","Draw 30 frames of a moving image. Animation principles: timing, squash, stretch, arcs.",Fine Motor,15–20 min,Blank booklet or stapled paper + pencil,5y9m–6y,AOTA Fine Motor Development; NCERT Foundational Literacy; IAP
Simple Cushion Cover,A skill-building activity focused on cutting accuracy.,"Fine motor control at this age is about accuracy and endurance rather than basic ability. Let your child attempt it independently first, and offer help only when they ask or genuinely stall.","Measure, cut, pin, sew three sides, stuff, sew fourth side. A complete sewing project from start to finish.",Fine Motor,20–30 min,"Fabric, needle, thread, stuffing",5y9m–6y,AOTA Fine Motor Development; NCERT Foundational Literacy; IAP
Programme Simple App,A skill-building activity focused on fine motor precision and control.,"This refines the precision your child now needs for writing, drawing and detailed work at school. Talk about how they approached it rather than whether they got it right; the strategy is the valuable part.","A fully functional quiz or animation with at least 3 scenes and user input. Logic, sequence, and debugging combined.",Fine Motor,20–30 min,Computer with Scratch,5y9m–6y,AOTA Fine Motor Development; NCERT Foundational Literacy; IAP
Plaster into Mould,An activity that develops fine motor precision and control.,"This refines the precision your child now needs for writing, drawing and detailed work at school. Talk about how they approached it rather than whether they got it right; the strategy is the valuable part.",Pour plaster into a mould; wait; remove. Casting + material science: liquid becomes solid as crystals form.,Fine Motor,15–20 min,"Plaster of Paris, mould (clay or plastic)",5y9m–6y,AOTA Fine Motor Development; NCERT Foundational Literacy; IAP
Read Classic Novel,An activity that develops reading development.,"Language now becomes a tool for thinking, explaining and reading, and this strengthens all three. Expect them to want to do it their own way, and let them where you can.","Adapted classic: Treasure Island, Alice in Wonderland, 20,000 Leagues. Literature with historical and cultural context.",Language & Communication,20–30 min,Adapted classic novel,5y9m–6y,ASHA Speech and Language Milestones; NCERT Foundational Literacy and Numeracy; IAP
Write Biography,An activity that develops written expression.,"Being able to explain their thinking out loud helps children organise it, which is why talk matters at this age. Talk about how they approached it rather than whether they got it right; the strategy is the valuable part.",Write a 400-word biography of a person they admire. Chronological structure + factual writing + sourcing.,Language & Communication,20–30 min,Reference material + pencil and paper,5y9m–6y,ASHA Speech and Language Milestones; NCERT Foundational Literacy and Numeracy; IAP
Précis Writing,A skill-building activity focused on reading development.,"Being able to explain their thinking out loud helps children organise it, which is why talk matters at this age. Talk about how they approached it rather than whether they got it right; the strategy is the valuable part.","Reduce a 200-word passage to 60 words, keeping all key points. Compression + selection = advanced literacy.",Language & Communication,15–20 min,200-word passage + pencil and paper,5y9m–6y,ASHA Speech and Language Milestones; NCERT Foundational Literacy and Numeracy; IAP
Active Passive Voice,A practical challenge that builds written expression.,"Language now becomes a tool for thinking, explaining and reading, and this strengthens all three. Let your child attempt it independently first, and offer help only when they ask or genuinely stall.",The dog bit the man' vs 'The man was bitten by the dog.' Transform 5 sentences between voices.,Language & Communication,5–10 min,Printed sentences,5y9m–6y,ASHA Speech and Language Milestones; NCERT Foundational Literacy and Numeracy; IAP
Read Poetry Aloud,An activity that develops reading development.,"Being able to explain their thinking out loud helps children organise it, which is why talk matters at this age. Expect them to want to do it their own way, and let them where you can.",Memorise a short poem and perform it with expression to an audience. Oral language + memory + performance.,Language & Communication,10–15 min,Short poem,5y9m–6y,ASHA Speech and Language Milestones; NCERT Foundational Literacy and Numeracy; IAP
Analyse News Article,A skill-building activity focused on reading development.,"This supports the vocabulary and expression that school will increasingly demand. Let your child attempt it independently first, and offer help only when they ask or genuinely stall.","Author, publication, date, claim, evidence given, potential bias. Critical news literacy: 5-question analysis.",Language & Communication,10–15 min,Current news article,5y9m–6y,ASHA Speech and Language Milestones; NCERT Foundational Literacy and Numeracy; IAP
Story from Prompt,A skill-building activity focused on narrative structure and retelling.,"Being able to explain their thinking out loud helps children organise it, which is why talk matters at this age. Let your child attempt it independently first, and offer help only when they ask or genuinely stall.",Open prompt: 'The door appeared overnight where there had never been a door.' Free creative writing from constraint.,Language & Communication,15–20 min,Pencil and paper,5y9m–6y,ASHA Speech and Language Milestones; NCERT Foundational Literacy and Numeracy; IAP
Homage Writing,A skill-building activity focused on written expression.,"This supports the vocabulary and expression that school will increasingly demand. Expect them to want to do it their own way, and let them where you can.",Write a story in the style of a favourite author. Style analysis + imitation = advanced literary understanding.,Language & Communication,15–20 min,Pencil and paper + chosen author's book,5y9m–6y,ASHA Speech and Language Milestones; NCERT Foundational Literacy and Numeracy; IAP
